device_id, CreateTime, RecvTime, Data
2, 1570350643, None, 42
2, 1570350643, None, 42
2, , 2019-10-17 11:54:11.888000, 54
2, , 2019-10-17 11:54:17.070000, 54
2, , 2019-10-17 11:54:22.260000, 54
2, , 2019-10-17 11:54:27.415000, 54
2, , 2019-10-17 11:54:32.598000, 54
2, , 2019-10-17 11:54:37.740000, 54
2, , 2019-10-17 11:54:42.890000, 54
2, , 2019-10-17 12:01:49.557000, 54
2, , 2019-10-17 12:01:54.742000, 54
2, , 2019-10-17 12:01:59.885000, 54
2, , 2019-10-17 12:02:05.037000, 54
2, , 2019-10-17 12:02:10.260000, 54
2, , 2019-10-17 12:02:15.493000, 54
2, , 2019-10-17 12:08:32.644000, 54
2, , 2019-10-17 12:08:37.935000, 54
2, , 2019-10-17 12:08:42.496000, 54
2, , 2019-10-17 12:08:51.428000, 54
2, , 2019-10-17 12:08:56.615000, 54
2, , 2019-10-17 12:09:01.790000, 54
2, , 2019-10-17 12:09:54.024000, 54
2, , 2019-10-17 12:10:07.619000, 54
2, , 2019-10-17 12:10:47.367000, 54
2, , 2019-10-17 12:10:52.531000, 54
2, , 2019-10-17 12:26:49.196000, 52
2, , 2019-10-17 12:27:18.013000, 52
2, , 2019-10-17 12:27:23.218000, 52
2, , 2019-10-17 12:29:20.580000, 52
2, , 2019-10-17 12:29:47.834000, 53
2, , 2019-10-17 12:29:53.016000, 53
2, , 2019-10-17 12:29:58.196000, 53
2, , 2019-10-17 12:30:03.356000, 53
2, , 2019-10-17 12:30:08.510000, 53
2, , 2019-10-17 12:30:13.678000, 53
2, , 2019-10-17 12:31:00.267000, 53
2, , 2019-10-17 12:31:05.491000, 53
2, , 2019-10-17 12:31:10.666000, 53
2, , 2019-10-17 12:31:56.123000, 53
2, , 2019-10-17 12:32:01.293000, 53
2, , 2019-10-17 12:32:06.477000, 53
2, , 2019-10-17 12:32:11.614000, 53
2, , 2019-10-17 12:32:49.658000, 53
2, , 2019-10-17 12:33:28.416000, 53
2, , 2019-10-17 12:33:33.616000, 53
2, , 2019-10-17 12:33:38.894000, 53
2, , 2019-10-17 12:33:44.049000, 53
2, , 2019-10-17 12:33:49.198000, 53
2, , 2019-10-17 12:33:54.366000, 53
2, , 2019-10-17 12:33:59.523000, 53
2, , 2019-10-17 12:34:04.660000, 53
2, , 2019-10-17 12:34:09.823000, 53
2, , 2019-10-17 12:34:15.001000, 53
2, , 2019-10-17 12:34:20.159000, 53
2, , 2019-10-17 12:34:25.307000, 53
2, , 2019-10-17 12:34:30.462000, 53
2, , 2019-10-17 12:34:35.648000, 53
2, , 2019-10-17 12:34:40.806000, 53
2, , 2019-10-17 12:34:45.959000, 53
2, , 2019-10-17 12:34:51.127000, 53
2, , 2019-10-17 12:34:56.301000, 53
2, , 2019-10-17 12:35:01.480000, 53
2, , 2019-10-17 12:35:06.609000, 53
2, , 2019-10-17 12:35:11.742000, 53
2, , 2019-10-17 12:35:16.892000, 53
2, , 2019-10-17 12:35:22.014000, 53
2, , 2019-10-17 12:35:27.141000, 53
2, , 2019-10-17 12:35:32.301000, 53
2, , 2019-10-17 12:35:37.456000, 53
2, , 2019-10-17 12:35:42.596000, 53
2, , 2019-10-17 12:35:47.746000, 53
2, , 2019-10-17 12:35:52.879000, 53
2, , 2019-10-17 12:35:58.083000, 53
2, , 2019-10-17 12:36:03.238000, 53
2, , 2019-10-17 12:36:08.427000, 53
2, , 2019-10-17 12:40:16.030000, 53
2, , 2019-10-17 12:40:21.201000, 53
2, , 2019-10-17 12:40:31.030000, 53
2, , 2019-10-17 12:40:36.193000, 53
2, , 2019-10-17 12:40:41.326000, 53
2, , 2019-10-17 12:41:13.468000, 53
2, , 2019-10-17 12:41:18.625000, 53
2, , 2019-10-17 12:41:22.747000, 53
2, , 2019-10-17 12:45:30.537000, 53
2, , 2019-10-17 12:45:35.720000, 53
2, , 2019-10-17 12:45:40.856000, 53
2, , 2019-10-17 12:45:46, 53
2, , 2019-10-17 12:45:51.156000, 53
2, , 2019-10-17 12:45:56.283000, 53
2, , 2019-10-17 12:46:01.409000, 53
2, , 2019-10-17 12:46:06.538000, 53
2, , 2019-10-17 12:46:11.696000, 53
2, , 2019-10-17 12:46:17.072000, 53
2, , 2019-10-17 12:46:22.196000, 53
2, , 2019-10-17 12:46:27.336000, 53
2, , 2019-10-17 12:46:32.487000, 53
2, , 2019-10-17 12:46:37.624000, 53
2, , 2019-10-17 12:48:31.148000, 52
2, , 2019-10-17 12:48:37.481000, 52
2, , 2019-10-17 12:50:41.630000, 53
2, , 2019-10-17 12:50:47.414000, 53
2, , 2019-10-17 12:50:52.676000, 53
2, , 2019-10-17 12:50:58.039000, 53
2, , 2019-10-17 12:51:03.435000, 53
2, , 2019-10-17 12:51:08.707000, 53
2, , 2019-10-17 12:51:13.976000, 53
2, , 2019-10-17 12:52:06.020000, 53
2, , 2019-10-17 12:52:17.212000, 53
2, , 2019-10-17 12:52:22.908000, 53
2, , 2019-10-17 12:52:28.354000, 53
2, , 2019-10-17 12:52:33.656000, 53
2, , 2019-10-17 12:52:39.804000, 53
2, , 2019-10-17 12:52:46.250000, 53
2, , 2019-10-17 12:52:54.416000, 53
2, , 2019-10-17 12:53:05.892000, 53
2, , 2019-10-17 12:53:11.751000, 53
2, , 2019-10-17 12:53:17.544000, 53
2, , 2019-10-17 12:53:26.240000, 53
2, , 2019-10-17 12:53:42.150000, 53
2, , 2019-10-17 12:53:47.464000, 53
2, , 2019-10-17 12:53:57.273000, 53
2, , 2019-10-17 12:54:03.230000, 53
2, , 2019-10-17 12:54:08.838000, 53
2, , 2019-10-17 12:54:14.209000, 53
2, , 2019-10-17 12:54:19.536000, 53
2, , 2019-10-17 12:54:24.863000, 53
2, , 2019-10-17 12:54:30.160000, 53
2, , 2019-10-17 12:54:35.777000, 53
2, , 2019-10-17 12:54:41.067000, 53
2, , 2019-10-17 12:54:46.480000, 53
2, , 2019-10-17 12:54:51.895000, 53
2, , 2019-10-17 12:54:57.294000, 53
2, , 2019-10-17 12:55:02.544000, 53
2, , 2019-10-17 12:55:07.845000, 53
2, , 2019-10-17 12:55:13.120000, 53
2, , 2019-10-17 12:55:18.444000, 53
2, , 2019-10-17 12:55:23.834000, 53
2, , 2019-10-17 12:55:29.160000, 53
2, , 2019-10-17 12:55:34.546000, 53
2, , 2019-10-17 12:55:39.830000, 53
2, , 2019-10-17 12:55:45.155000, 53
2, , 2019-10-17 12:55:50.439000, 53
2, , 2019-10-17 12:55:55.720000, 53
2, , 2019-10-17 12:56:01.011000, 53
2, , 2019-10-17 12:56:06.380000, 53
2, , 2019-10-17 12:56:11.675000, 53
2, , 2019-10-17 12:56:16.943000, 53
2, , 2019-10-17 12:56:22.208000, 53
2, , 2019-10-17 12:56:27.507000, 53
2, , 2019-10-17 12:56:32.744000, 53
2, , 2019-10-17 12:56:38.051000, 53
2, , 2019-10-17 12:56:43.314000, 53
2, , 2019-10-17 12:56:48.556000, 53
2, , 2019-10-17 12:56:53.829000, 53
2, , 2019-10-17 12:56:59.180000, 53
2, , 2019-10-17 12:57:04.671000, 53
2, , 2019-10-17 12:57:10.014000, 53
2, , 2019-10-17 12:57:15.362000, 53
2, , 2019-10-17 12:57:20.689000, 53
2, , 2019-10-17 12:57:25.964000, 53
2, , 2019-10-17 12:57:31.701000, 53
2, , 2019-10-17 12:57:37.032000, 53
2, , 2019-10-17 12:57:42.348000, 53
2, , 2019-10-17 12:57:47.798000, 53
2, , 2019-10-17 12:57:53.046000, 53
2, , 2019-10-17 12:57:58.377000, 53
2, , 2019-10-17 12:58:03.680000, 53
2, , 2019-10-17 12:58:09.179000, 53
2, , 2019-10-17 12:58:14.440000, 53
2, , 2019-10-17 12:58:19.705000, 53
2, , 2019-10-17 12:58:25.087000, 53
2, , 2019-10-17 12:58:30.374000, 53
2, , 2019-10-17 12:58:35.669000, 53
2, , 2019-10-17 12:58:40.948000, 53
2, , 2019-10-17 12:58:46.216000, 53
2, , 2019-10-17 12:58:51.546000, 53
2, , 2019-10-17 12:58:56.842000, 53
2, , 2019-10-17 12:59:02.126000, 53
2, , 2019-10-17 12:59:07.491000, 53
2, , 2019-10-17 12:59:12.883000, 53
2, , 2019-10-17 12:59:18.144000, 53
2, , 2019-10-17 12:59:23.645000, 53
2, , 2019-10-17 12:59:28.915000, 53
2, , 2019-10-17 12:59:34.557000, 53
2, , 2019-10-17 12:59:40.005000, 53
2, , 2019-10-17 12:59:45.297000, 53
2, , 2019-10-17 12:59:50.595000, 53
2, , 2019-10-17 12:59:55.887000, 53
2, , 2019-10-17 13:00:01.233000, 53
2, , 2019-10-17 13:00:06.891000, 53
2, , 2019-10-17 13:00:12.222000, 53
2, , 2019-10-17 13:00:17.524000, 53
2, , 2019-10-17 13:00:22.995000, 53
2, , 2019-10-17 13:00:28.293000, 53
2, , 2019-10-17 13:00:33.635000, 53
2, , 2019-10-17 13:00:39.098000, 53
2, , 2019-10-17 13:00:44.364000, 53
2, , 2019-10-17 13:00:49.623000, 53
2, , 2019-10-17 13:00:54.960000, 53
2, , 2019-10-17 13:01:00.319000, 53
2, , 2019-10-17 13:01:05.651000, 53
2, , 2019-10-17 13:01:10.979000, 53
2, , 2019-10-17 13:01:16.337000, 53
2, , 2019-10-17 13:01:21.836000, 53
2, , 2019-10-17 13:01:27.148000, 53
2, , 2019-10-17 13:01:32.438000, 53
2, , 2019-10-17 13:01:37.784000, 53
2, , 2019-10-17 13:01:43.059000, 53
2, , 2019-10-17 13:01:48.368000, 53
2, , 2019-10-17 13:01:53.693000, 53
2, , 2019-10-17 13:01:59.013000, 53
2, , 2019-10-17 13:02:04.267000, 53
2, , 2019-10-17 13:02:09.519000, 53
2, , 2019-10-17 13:02:14.861000, 53
2, , 2019-10-17 13:02:20.097000, 53
2, , 2019-10-17 13:02:25.496000, 53
